01.10.2019	GRT.RB.K Арочний комплект без шини	ActivPilot	1	0	0	1	602,67	0,00	0,00	602,67
01.10.2019	GRT.SWR 20/13 SL комплект	ActivPilot	1	0	0	1	251,39	0,00	0,00	251,39
01.10.2019	KB.K 20-13 петля відкидна	ActivPilot	105	0	0	105	3226,29	0,00	0,00	3226,29
01.10.2019	KBG OS1 обмежувач нахилу	ActivPilot	151	0	0	151	575,31	0,00	0,00	575,31
01.10.2019	KBG OS2 обмежувач нахилу	ActivPilot	32	0	0	32	222,08	0,00	0,00	222,08
01.10.2019	KE SL подовжувач	ActivPilot	35	0	0	35	721,20	0,00	0,00	721,20
01.10.2019	M 500-1 блокада	ActivPilot	388	3	27	364	9417,64	75,00	658,04	8834,60
01.10.2019	M 750-1 блокада	ActivPilot	294	1	24	271	9950,35	34,60	830,30	9154,65
01.10.2019	MK 250-1 блокада додаткова	ActivPilot	141	0	22	119	3646,19	0,00	571,56	3074,63
01.10.2019	MK 500-1 блокада додаткова	ActivPilot	146	2	16	132	4625,10	65,70	518,01	4172,79
01.10.2019	MK 750-1 блокада додаткова	ActivPilot	109	0	16	93	4724,63	0,00	707,31	4017,32
01.10.2019	MSL-OS LS механізм провітрювання	ActivPilot	56	0	4	52	601,92	0,00	43,92	558,00
01.10.2019	MSL-OS RS механізм провітрювання	ActivPilot	151	0	8	143	1610,08	0,00	85,63	1524,45
01.10.2019	MVA SL прижим середній рам частина	ActivPilot	4	0	2	2	60,02	0,00	30,55	29,47
01.10.2019	MVA/0 BR прижим серед стул частина	ActivPilot	21	0	0	21	129,32	0,00	0,00	129,32
01.10.2019	MVA/0 WS прижим серед стул частина	ActivPilot	2	0	2	0	21,38	0,00	21,38	0,00
01.10.2019	OS1 600 шина	ActivPilot	133	0	4	129	4126,83	0,00	126,94	3999,89
01.10.2019	NC 500 T/H 13 петля	ActivPilot	2	0	0	2	337,92	0,00	0,00	337,92
01.10.2019	OR-A SL кутове закінчення	ActivPilot	2	0	0	2	41,49	0,00	0,00	41,49
01.10.2019	OS2 1025-1 шина	ActivPilot	77	0	4	73	4062,75	0,00	214,24	3848,51
01.10.2019	OS2 1250-1 шина	ActivPilot	9	0	0	9	512,64	0,00	0,00	512,64
01.10.2019	OS2 800 шина	ActivPilot	298	0	38	260	12368,96	0,00	1614,24	10754,72
01.10.2019	RB SL подовжувач	ActivPilot	1	0	0	1	92,89	0,00	0,00	92,89
01.10.2019	SBA.K 552+0,5 зачіп	ActivPilot	8	0	0	8	18,05	0,00	0,00	18,05
01.10.2019	SBA.K 562 P7 зачіп	ActivPilot	8	0	0	8	16,70	0,00	0,00	16,70
01.10.2019	SBK.K 152 P5 зачіп відкидний	ActivPilot	65	0	0	65	688,07	0,00	0,00	688,07
01.10.2019	SBK.K 162 зачіп відкидний	ActivPilot	4	0	0	4	40,90	0,00	0,00	40,90
